ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,MODELO,tipo_juego,ACCESIBLE,AREA
9536964,CIRCUITO DEPORTIVO ELEMENTAL,125,MOSCARDO,12.0,USERA,OPERATIVO,440121.916,4471481.691,ETRS89,40.39178324,-3.70552534,CALLE,MARIBLANCA,14,28005.0,C/TORERO,11084099.0,31-01-2024,D1271,AE21,,DEPORTIVAS,,9536964
9536964,CIRCUITO DEPORTIVO ELEMENTAL,125,MOSCARDO,12.0,USERA,OPERATIVO,440121.916,4471481.691,ETRS89,40.39178324,-3.70552534,CALLE,MARIBLANCA,14,28005.0,C/TORERO,11084099.0,31-01-2024,D1271,AE21,,DEPORTIVAS,,9536964
9536964,CIRCUITO DEPORTIVO ELEMENTAL,125,MOSCARDO,12.0,USERA,OPERATIVO,440121.916,4471481.691,ETRS89,40.39178324,-3.70552534,CALLE,MARIBLANCA,14,28005.0,C/TORERO,11084099.0,31-01-2024,D1271,AE21,,DEPORTIVAS,,9536964
9503906,CIRCUITO DEPORTIVO ELEMENTAL,116,BUENAVISTA,11.0,CARABANCHEL,OPERATIVO,436240.363,4468569.501,ETRS89,40.36526089,-3.75096554,AVENIDA,CARABANCHEL ALTO,21,28044.0,C/BLANCA CV C/DINERO,31069202.0,01-01-1970,D1171,AE21,,DEPORTIVAS,,9503906
9503906,CIRCUITO DEPORTIVO ELEMENTAL,116,BUENAVISTA,11.0,CARABANCHEL,OPERATIVO,436240.363,4468569.501,ETRS89,40.36526089,-3.75096554,AVENIDA,CARABANCHEL ALTO,21,28044.0,C/BLANCA CV C/DINERO,31069202.0,01-01-1970,D1171,AE21,,DEPORTIVAS,,9503906
9503906,CIRCUITO DEPORTIVO ELEMENTAL,116,BUENAVISTA,11.0,CARABANCHEL,OPERATIVO,436240.363,4468569.501,ETRS89,40.36526089,-3.75096554,AVENIDA,CARABANCHEL ALTO,21,28044.0,C/BLANCA CV C/DINERO,31069202.0,01-01-1970,D1171,AE21,,DEPORTIVAS,,9503906
9494172,CIRCUITO DEPORTIVO ELEMENTAL,65,VALDEACEDERAS,6.0,TETUAN,OPERATIVO,439941.714,4479626.547,ETRS89,40.46514275,-3.70841793,PASEO,DIRECCION,190,28039.0,PASEO DE LA DIRECCIÓN 215,31028286.0,19-03-2024,D0658,AE21,,DEPORTIVAS,,9494172
16888,AREA INFANTIL,54,HISPANOAMERICA,5.0,CHAMARTIN,OPERATIVO,442738.874,4478603.439,ETRS89,40.45612362,-3.67533393,CALLE,CALLE PUERTO RICO 27,27,28016.0,"CALLE PUERTO RICO 27 , ASCENDIENTE 1: 054 · H",11025193.0,01-02-2006,5021,AE21,,DEPORTIVAS,,16888
16888,AREA INFANTIL,54,HISPANOAMERICA,5.0,CHAMARTIN,OPERATIVO,442738.874,4478603.439,ETRS89,40.45612362,-3.67533393,CALLE,CALLE PUERTO RICO 27,27,28016.0,"CALLE PUERTO RICO 27 , ASCENDIENTE 1: 054 · H",11025193.0,01-02-2006,5021,AE21,,DEPORTIVAS,,16888
5175231,CIRCUITO DEPORTIVO ELEMENTAL,86,VALVERDE,8.0,FUENCARRAL - EL PARDO,OPERATIVO,441925.662,4481663.994,ETRS89,40.48363797,-3.68520443,AVENIDA,LLANO CASTELLANO,3,28034.0,PARQUE DE BEGOÑA,11047058.0,18-07-2019,D0855,AE21,,DEPORTIVAS,,5175231
