,ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
0,1,2,1,REGULAR,18510,27-03-2021
1,2,5,5,EXCELENTE,52143,25-03-2023
2,3,1,1,DEFICIENTE,6907760,19-03-2022
3,4,2,1,REGULAR,9187084,25-06-2021
4,5,3,2,ACEPTABLE,17256,28-12-2023
5,6,5,5,EXCELENTE,18570,09-12-2021
6,7,1,1,DEFICIENTE,17647,22-02-2021
7,8,1,2,REGULAR,52103,15-12-2022
8,9,1,1,DEFICIENTE,52195,07-10-2021
9,10,2,2,ACEPTABLE,52223,24-05-2023
10,11,1,1,DEFICIENTE,18345,30-05-2021
11,12,2,2,ACEPTABLE,18371,13-08-2023
12,13,5,5,EXCELENTE,16716,15-09-2023
13,14,4,4,EXCELENTE,4749900,02-03-2021
14,15,5,4,EXCELENTE,18055,19-05-2022
15,16,2,2,ACEPTABLE,18099,13-04-2021
16,17,5,4,EXCELENTE,17373,19-01-2021
17,18,1,1,DEFICIENTE,18330,12-04-2022
18,19,5,5,EXCELENTE,17407,29-06-2022
19,20,5,5,EXCELENTE,16677,22-07-2022
20,21,5,5,EXCELENTE,18435,11-08-2022
21,22,5,4,EXCELENTE,17300,04-05-2023
22,23,5,4,EXCELENTE,18378,17-07-2021
23,24,1,1,DEFICIENTE,18278,31-07-2023
24,25,4,4,EXCELENTE,17409,15-12-2021
25,26,2,1,REGULAR,17977,03-01-2023
26,27,2,2,ACEPTABLE,17685,04-11-2023
27,28,1,1,DEFICIENTE,52158,26-09-2022
28,29,4,3,MUY BUENO,17555,08-09-2021
29,30,5,5,EXCELENTE,17760,27-04-2021
30,31,2,2,ACEPTABLE,3991087,04-11-2022
31,32,4,3,MUY BUENO,18620,26-03-2021
32,33,3,4,MUY BUENO,17008,04-01-2023
33,34,2,1,REGULAR,18083,08-10-2023
34,35,3,3,MUY BUENO,18630,10-06-2021
35,36,1,2,REGULAR,17045,17-08-2022
36,37,2,2,ACEPTABLE,17419,13-11-2022
37,38,1,1,DEFICIENTE,3558513,31-01-2023
38,39,2,1,REGULAR,18351,17-09-2023
39,40,4,4,EXCELENTE,17092,23-02-2023
40,41,4,4,EXCELENTE,17783,30-11-2022
41,42,4,3,MUY BUENO,18528,23-01-2021
42,43,2,2,ACEPTABLE,5195695,13-02-2022
43,44,3,2,ACEPTABLE,17858,27-08-2021
44,45,3,4,MUY BUENO,18410,26-06-2021
45,46,1,1,DEFICIENTE,18557,16-08-2023
46,47,2,2,ACEPTABLE,16967,25-10-2021
47,48,1,1,DEFICIENTE,18193,25-08-2023
48,49,4,4,EXCELENTE,17862,12-06-2023
49,50,5,4,EXCELENTE,18395,21-05-2021
50,51,1,2,REGULAR,7928019,24-07-2021
51,52,1,1,DEFICIENTE,8907322,28-12-2023
52,53,3,4,MUY BUENO,4749896,13-06-2023
53,54,4,5,EXCELENTE,17362,15-04-2023
54,55,5,4,EXCELENTE,6819626,26-03-2023
55,56,1,1,DEFICIENTE,52167,18-06-2022
56,57,3,3,MUY BUENO,17675,13-01-2021
57,58,4,5,EXCELENTE,17139,19-04-2022
58,59,1,2,REGULAR,17742,26-03-2021
59,60,5,5,EXCELENTE,5654057,18-04-2022
60,61,3,4,MUY BUENO,18011,19-11-2023
61,62,3,2,ACEPTABLE,18149,13-05-2021
62,63,2,3,ACEPTABLE,17786,05-04-2023
63,64,5,5,EXCELENTE,6880820,10-10-2021
64,65,4,3,MUY BUENO,18284,11-10-2022
65,66,3,3,MUY BUENO,8914015,12-02-2023
66,67,1,1,DEFICIENTE,16986,03-05-2023
67,68,2,1,REGULAR,7882665,03-02-2023
68,69,5,5,EXCELENTE,17378,15-08-2021
69,70,3,2,ACEPTABLE,17511,13-10-2023
70,71,5,4,EXCELENTE,16767,16-07-2021
71,72,3,3,MUY BUENO,18168,25-07-2021
72,73,5,4,EXCELENTE,18091,09-01-2022
73,74,3,3,MUY BUENO,5653963,15-08-2022
74,75,2,1,REGULAR,17200,18-01-2022
75,76,5,5,EXCELENTE,16969,14-10-2023
76,77,2,3,ACEPTABLE,17266,25-02-2022
77,78,5,5,EXCELENTE,7245849,23-09-2022
78,79,1,2,REGULAR,17283,24-02-2023
79,80,4,4,EXCELENTE,17938,18-10-2021
80,81,4,4,EXCELENTE,17289,08-12-2023
81,82,1,1,DEFICIENTE,17063,30-09-2023
82,83,1,1,DEFICIENTE,18327,18-03-2022
83,84,5,5,EXCELENTE,17549,31-03-2023
84,85,5,5,EXCELENTE,18584,08-06-2023
85,86,1,1,DEFICIENTE,5237134,31-07-2023
86,87,2,3,ACEPTABLE,18454,04-10-2021
87,88,1,2,REGULAR,18074,11-03-2022
88,89,2,2,ACEPTABLE,17779,08-02-2023
89,90,4,3,MUY BUENO,18021,27-04-2022
90,91,1,2,REGULAR,18534,05-08-2021
91,92,1,1,DEFICIENTE,5237132,25-03-2023
92,93,1,2,REGULAR,17977,18-04-2023
93,94,2,2,ACEPTABLE,18615,16-03-2022
94,95,1,2,REGULAR,17030,27-10-2023
95,96,2,3,ACEPTABLE,16840,11-09-2023
96,97,3,4,MUY BUENO,16855,01-11-2023
