_id,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID,Tipo,Comentarios
"-1,00 MNT",2024-08-05T00:00:00Z,CORRECTIVO,MALO,MALO,9394146,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 1
"-2,00 MNT",2024-03-30T00:00:00Z,CORRECTIVO,REGULAR,REGULAR,9224036,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 2
"-3,00 MNT",2024-09-17T00:00:00Z,EMERGENCIA,BUENO,BUENO,3849642,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 3
"-4,00 MNT",2023-11-01T00:00:00Z,EMERGENCIA,REGULAR,BUENO,59177,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 4
"-5,00 MNT",2024-02-04T00:00:00Z,EMERGENCIA,BUENO,MALO,21957,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 5
"-6,00 MNT",2024-03-06T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,34208,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 6
"-7,00 MNT",2023-10-22T00:00:00Z,PREVENTIVO,BUENO,REGULAR,8803674,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 7
"-8,00 MNT",2024-01-29T00:00:00Z,CORRECTIVO,BUENO,REGULAR,3576475,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 8
"-9,00 MNT",2024-07-01T00:00:00Z,CORRECTIVO,MALO,REGULAR,5158890,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 9
"-10,00 MNT",2024-02-20T00:00:00Z,EMERGENCIA,REGULAR,BUENO,4988207,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 10
"-11,00 MNT",2024-04-09T00:00:00Z,CORRECTIVO,REGULAR,BUENO,9223682,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 11
"-12,00 MNT",2024-08-02T00:00:00Z,PREVENTIVO,BUENO,BUENO,35036,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 12
"-13,00 MNT",2024-02-17T00:00:00Z,EMERGENCIA,MALO,REGULAR,58764,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 13
"-14,00 MNT",2024-05-25T00:00:00Z,EMERGENCIA,MALO,REGULAR,7822978,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 14
"-15,00 MNT",2023-10-18T00:00:00Z,EMERGENCIA,BUENO,REGULAR,7126930,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 15
"-16,00 MNT",2024-09-26T00:00:00Z,CORRECTIVO,MALO,BUENO,58422,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 16
"-17,00 MNT",2023-11-12T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,4731663,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 17
"-18,00 MNT",2024-02-08T00:00:00Z,CORRECTIVO,MALO,BUENO,20559,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 18
"-19,00 MNT",2024-06-08T00:00:00Z,PREVENTIVO,REGULAR,MALO,21238,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 19
"-20,00 MNT",2023-12-18T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,19725,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 20
"-21,00 MNT",2023-12-25T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,4749929,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 21
"-22,00 MNT",2024-04-02T00:00:00Z,EMERGENCIA,BUENO,REGULAR,25582,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 22
"-23,00 MNT",2024-06-16T00:00:00Z,PREVENTIVO,REGULAR,MALO,18826,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 23
"-24,00 MNT",2024-06-13T00:00:00Z,CORRECTIVO,BUENO,REGULAR,20237,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 24
"-25,00 MNT",2024-07-12T00:00:00Z,CORRECTIVO,REGULAR,MALO,3997060,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 25
"-26,00 MNT",2024-05-20T00:00:00Z,EMERGENCIA,MALO,MALO,5241083,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 26
"-27,00 MNT",2024-08-19T00:00:00Z,PREVENTIVO,BUENO,BUENO,9497226,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 27
"-28,00 MNT",2024-01-03T00:00:00Z,CORRECTIVO,REGULAR,BUENO,9271148,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 28
"-29,00 MNT",2024-05-08T00:00:00Z,PREVENTIVO,MALO,BUENO,33591,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 29
"-30,00 MNT",2024-01-02T00:00:00Z,CORRECTIVO,BUENO,MALO,33491,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 30
"-31,00 MNT",2023-10-21T00:00:00Z,CORRECTIVO,REGULAR,BUENO,8888577,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 31
"-32,00 MNT",2024-09-10T00:00:00Z,CORRECTIVO,MALO,REGULAR,18703,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 32
"-33,00 MNT",2024-05-28T00:00:00Z,EMERGENCIA,MALO,REGULAR,8928074,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 33
"-34,00 MNT",2024-02-03T00:00:00Z,CORRECTIVO,MALO,BUENO,21749,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 34
"-35,00 MNT",2024-06-23T00:00:00Z,CORRECTIVO,BUENO,BUENO,4737873,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 35
"-36,00 MNT",2024-09-07T00:00:00Z,CORRECTIVO,REGULAR,BUENO,35182,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 36
"-37,00 MNT",2024-02-08T00:00:00Z,CORRECTIVO,MALO,MALO,8820183,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 37
"-38,00 MNT",2024-03-16T00:00:00Z,PREVENTIVO,REGULAR,MALO,19562,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 38
"-39,00 MNT",2024-05-16T00:00:00Z,CORRECTIVO,REGULAR,MALO,32653,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 39
"-40,00 MNT",2023-10-29T00:00:00Z,PREVENTIVO,MALO,BUENO,34142,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 40
"-41,00 MNT",2024-05-19T00:00:00Z,EMERGENCIA,REGULAR,BUENO,3963370,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 41
"-42,00 MNT",2024-05-09T00:00:00Z,CORRECTIVO,REGULAR,BUENO,21442,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 42
"-43,00 MNT",2024-07-08T00:00:00Z,CORRECTIVO,REGULAR,BUENO,6878949,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 43
"-44,00 MNT",2024-09-05T00:00:00Z,PREVENTIVO,REGULAR,BUENO,59202,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 44
"-45,00 MNT",2024-05-20T00:00:00Z,PREVENTIVO,MALO,REGULAR,7924749,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 45
"-46,00 MNT",2023-11-28T00:00:00Z,EMERGENCIA,BUENO,BUENO,9289730,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 46
"-47,00 MNT",2024-09-04T00:00:00Z,EMERGENCIA,REGULAR,BUENO,19866,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 47
"-48,00 MNT",2024-06-23T00:00:00Z,CORRECTIVO,BUENO,REGULAR,9052567,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 48
"-49,00 MNT",2024-01-31T00:00:00Z,CORRECTIVO,REGULAR,MALO,3530673,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 49
"-50,00 MNT",2024-04-28T00:00:00Z,PREVENTIVO,BUENO,MALO,59740,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 50
"-51,00 MNT",2024-01-13T00:00:00Z,CORRECTIVO,BUENO,REGULAR,5241064,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 51
"-52,00 MNT",2024-04-01T00:00:00Z,EMERGENCIA,BUENO,MALO,9157760,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 52
"-53,00 MNT",2024-04-27T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,21140,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 53
"-54,00 MNT",2024-06-09T00:00:00Z,EMERGENCIA,BUENO,BUENO,24703,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 54
"-55,00 MNT",2024-09-23T00:00:00Z,EMERGENCIA,MALO,MALO,59353,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 55
"-56,00 MNT",2023-09-11T00:00:00Z,PREVENTIVO,MALO,MALO,6878766,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 56
"-57,00 MNT",2024-05-26T00:00:00Z,EMERGENCIA,MALO,BUENO,4985742,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 57
